_id,name,cameras,url,dist,duration
5842041f4e65fad6a7708a0b,Brigantine Jetty,FALSE,https://www.surfline.com/surf-report/brigantine-jetty/5842041f4e65fad6a7708a0b,220,2.59
5842041f4e65fad6a7708a06,Crystals,FALSE,https://www.surfline.com/surf-report/crystals/5842041f4e65fad6a7708a06,219,2.58
5842041f4e65fad6a7708a0a,States Avenue,FALSE,https://www.surfline.com/surf-report/states-avenue/5842041f4e65fad6a7708a0a,219,2.55
5842041f4e65fad6a7708a0c,South Carolina Avenue,FALSE,https://www.surfline.com/surf-report/south-carolina-avenue/5842041f4e65fad6a7708a0c,218,2.53
5842041f4e65fad6a7708a09,Ventnor Pier,FALSE,https://www.surfline.com/surf-report/ventnor-pier/5842041f4e65fad6a7708a09,218,2.51
5842041f4e65fad6a7708a08,Margate Pier Northside,TRUE,https://www.surfline.com/surf-report/margate-pier-northside/5842041f4e65fad6a7708a08,230,2.58
5842041f4e65fad6a7708b5d,Sumner Avenue,FALSE,https://www.surfline.com/surf-report/sumner-avenue/5842041f4e65fad6a7708b5d,216,2.58
5842041f4e65fad6a7708a07,32nd Street,FALSE,https://www.surfline.com/surf-report/32nd-street/5842041f4e65fad6a7708a07,218,2.6
5842041f4e65fad6a7708b5a,North Street to 3rd Street Jetty,TRUE,https://www.surfline.com/surf-report/north-street-to-3rd-street-jetty/5842041f4e65fad6a7708b5a,224,2.62
5842041f4e65fad6a7708858,1st St.,TRUE,https://www.surfline.com/surf-report/1st-st-/5842041f4e65fad6a7708858,223,2.62
5afdee5284d976001b68123a,5th St.,TRUE,https://www.surfline.com/surf-report/5th-st-/5afdee5284d976001b68123a,223,2.61
5842041f4e65fad6a7708b5b,7th Street,FALSE,https://www.surfline.com/surf-report/7th-street/5842041f4e65fad6a7708b5b,223,2.58
5aff31a7f7fc66001bd15a34,9th St. ,TRUE,https://www.surfline.com/surf-report/9th-st-/5aff31a7f7fc66001bd15a34,222,2.58
5b02fe338bd590001bf55485,10th St. Overview,TRUE,https://www.surfline.com/surf-report/10th-st-overview/5b02fe338bd590001bf55485,222,2.58
5aff36d34c56c8001a4660bb,10th St. ,TRUE,https://www.surfline.com/surf-report/10th-st-/5aff36d34c56c8001a4660bb,222,2.58
5b02ff07b383ab001aa8cff3,11th St.,FALSE,https://www.surfline.com/surf-report/11th-st-/5b02ff07b383ab001aa8cff3,222,2.58
5bd0d3380639100001e89b2c,14th Street,TRUE,https://www.surfline.com/surf-report/14th-street/5bd0d3380639100001e89b2c,223,2.59
